Month,Customer Name,Destination City,Total Load Volume (m3),Truck Type,Truck Volume M3,Total Transport Cost (NGN),Capacity Utilisation
JULY,MULTI RELIANCE,RIVERS,77.5,NG 30 Ton (76 m3),82.11,346690,0.94
JULY,KLINSWAYS GLOBAL,CROSS RIVER,103.2,NG Jumbo (110 m3),105.26,430000,0.98
JULY,OLASUNKANMI NA ALLAH,KADUNA,68.4,NG 30 Ton (76 m3),70.79,492294,0.97
JULY,ABJ FOUNTAINS,KANO,77.1,NG 30 Ton (76 m3),80.35,540350,0.96
JULY,JEVIDAC NIG LTD,RIVERS,74.5,NG 30 Ton (76 m3),76.46,346690,0.97
JULY,S.C.OKONKWO,PLATEAU,75.44,NG 30 Ton (76 m3),82.11,580940,0.92
JULY,AMANA STORES,ABUJA,75.79,NG 30 Ton (76 m3),88.11,421650,0.86
JULY,JEVIDAC NIG LTD,RIVERS,104.6,NG Jumbo (110 m3),107.94,375000,0.97
JULY,UC INTERNATIONAL,ABIA,65.3,NG 30 Ton (76 m3),67.34,480997,0.97
JULY,TUNRAY,KANO,74.4,NG 30 Ton (76 m3),76.44,515350,0.97
JULY,MULTI RELIANCE,RIVERS,74.95,NG 30 Ton (76 m3),76.1,346690,0.98
JULY,CHALICE KIDDIES TOWN,TARABA,81.23,NG 30 Ton (76 m3),82.3,582200,0.99
JULY,TRUST DAVE,ABUJA,64.15,NG 30 Ton (67 m3),76.14,497294,0.84
JULY,PEAK AND LOVELY,ADAMAWA,64.77,NG 30 Ton (76 m3),69.94,768340,0.93
JULY,M O ILO TRADING CO,ANAMBRA,70.18,NG 30 Ton (76 m3),76.63,429083,0.92
JULY,SYXSIM ,BENUE,92.59,NG Jumbo (110 m3),107.81,512820,0.86
JULY,BENELIZA CONCEPT,CROSS RIVER,64.88,NG 30 Ton (76 m3),80.35,449760,0.81
JULY,OLIVE AND OLIVE,IMO,90.12,NG 30 Ton (90 m3),93.8,390000,0.96
JULY,MULTI RELIANCE,RIVERS,104.65,NG Jumbo (106 m3),107.81,487500,0.97
JULY,A.Y.DOGARA,BORNU,95.81,NG Jumbo (106 m3),108.62,960000,0.88
JULY,NOSTRA HOMES,EBONYI,88,NG Jumbo (110 m3),90.45,495100,0.97
JULY,HAMISU RABIU AND BROTHERS,KANO,67,NG 30 Ton (76 m3),68.51,562376,0.98
JULY,LATTICE-LINK INTERNATIONAL LTD,ABUJA,74,NG 30 Ton (76 m3),77.12,421650,0.96
JULY,CHINEMEGO ENTERPRISES LTD,NIGER,75,NG 30 Ton (76 m3),76.06,393540,0.99
JULY,SYXSIM SERVICES LIMITED,BENUE,103.5,NG Jumbo (110 m3),106.7,519000,0.97
JULY,HAMISU RABIU AND BROTHERS,KANO,74.17,NG 30 Ton (76 m3),76.46,515350,0.97
JULY,S.C.OKONKWO,ADAMAWA,83.6,NG 30 Ton (76 m3),86.39,788340,0.97
JULY,MAYWEATHER INVESTMENT LIMITED,ABUJA,99.9,NG Jumbo (106 m3),108.62,520032,0.92
JULY,A.A MAIDALA ISA & SONS,GOMBE,69.06,NG 30 Ton (76 m3),88.18,629050,0.78
JULY,MULTI RELIANCE NIGERIA LIMITED,RIVERS,66.82,NG 30 Ton (67 m3),88.18,346690,0.76
JULY,HAMISU RABIU AND BROTHERS,KANO,82.46,NG 30 Ton (76 m3),86.39,515350,0.95
JULY,KA-MCJOY NIGERIA LIMITED,AWKA IBOM,77.11,NG 30 Ton (76 m3),80.35,421650,0.96
JULY,HAMISU RABIU AND BROTHERS,KANO,73.82,NG 30 Ton (76 m3),76.1,515350,0.97
JULY,YOUNG OMEX DYNAMIC SYNERGY LTD,BENUE,97.4,NG 30 Ton (90 m3),107.81,842820,0.9
JULY,MD MART,RIVERS,112.66,NG Jumbo (110 m3),115.6,515354,0.97
JULY,EZE MBA-NABO,KATSINA,72.09,NG 30 Ton (76 m3),76.3,694955,0.94
JULY,MURTALA ABDULLAHI,KADUNA,74.44,NG 30 Ton (76 m3),76.46,470075,0.97
JULY,AMANA STORES,ABUJA,112.88,NG Jumbo (110 m3),116.54,520032,0.97
JULY,MURTALA ABDULLAHI ENTERPRISES,KADUNA,111.22,NG Jumbo (110 m3),114.66,527776,0.97
JULY,UGWU & SONS CONCEPT LTD,NASARAWA,74.39,NG 30 Ton (76 m3),76.63,490485,0.97
